"fecha";"casos_confirmados";"ingresos_hospitalarios";"ingresos_uci";"fallecimientos";"casos_personal_sanitario";"altas";"camas_planta_ocupadas";"camas_uci_ocupadas";"incremento_casos_confirmados_diario";"observaciones";"positivo_pruebas_pcr";"positivo_test_rapidos";"pruebas_pcr_realizadas";"test_rapidos_realizados";"pruebas_ultima_semana";"tpc_positividad_pruebas";"confirmados_cada_100000";"tpc_incremento_casos_diarios";"tpc_ingresos_hospitalarios";"tasa_letalidad"
2021-01-15;87008;10228;932;2745;;;519;56;840;"Fuente Centro de Coordinación de Alertas y Emergencias Sanitarias. Gobierno de España 15/01/2021";;;;;19487;18,55;;;;
2021-01-18;89041;10397;946;2772;;;592;62;;"Fuente Centro de Coordinación de Alertas y Emergencias Sanitarias. Gobierno de España 18/01/2021";;;;;17232;20,19;;;;
2021-01-19;89570;10447;946;2782;;;628;62;529;"Fuente Centro de Coordinación de Alertas y Emergencias Sanitarias. Gobierno de España 19/01/2021";;;;;17651;20,92;;;;
2021-01-20;90406;10535;952;2795;;;641;67;836;"Fuente Centro de Coordinación de Alertas y Emergencias Sanitarias. Gobierno de España 20/01/2021";;;;;18667;20,83;;;;
2021-01-21;91191;10608;958;2808;;;647;70;785;"Fuente Centro de Coordinación de Alertas y Emergencias Sanitarias. Gobierno de España 21/01/2021";;;;;19167;29,79;;;;
2021-01-22;91963;10692;960;2824;;;677;77;772;"Fuente Centro de Coordinación de Alertas y Emergencias Sanitarias. Gobierno de España 22/01/2021";;;;;25684;20,85;;;;
2021-01-25;94005;10925;985;2858;;;784;80;;"Fuente Centro de Coordinación de Alertas y Emergencias Sanitarias. Gobierno de España 25/01/2021";;;;;20158;19,36;;;;
2021-01-26;94560;10980;984;2870;;;774;78;555;"Fuente Centro de Coordinación de Alertas y Emergencias Sanitarias. Gobierno de España 26/01/2021";;;;;19794;19,32;;;;
2021-01-27;95429;11056;986;2893;;;11056;986;869;"Fuente Centro de Coordinación de Alertas y Emergencias Sanitarias. Gobierno de España 27/01/2021";;;;;19673;19,74;;;;
2021-01-28;96324;11130;996;2902;;;11130;966;895;"Fuente Centro de Coordinación de Alertas y Emergencias Sanitarias. Gobierno de España 28/01/2021";;;;;19693;19,86;;;;
2021-01-29;96962;11191;998;2918;;;736;87;638;"Fuente Centro de Coordinación de Alertas y Emergencias Sanitarias. Gobierno de España 29/01/2021";;;;;20493;19,86;;;;
2021-02-01;97813;11343;1011;2933;;;770;88;;"Fuente Centro de Coordinación de Alertas y Emergencias Sanitarias. Gobierno de España 01/02/2021";;;;;21618;18,88;;;;
2021-02-02;98231;11355;1011;2933;;;789;94;418;"Fuente Centro de Coordinación de Alertas y Emergencias Sanitarias. Gobierno de España 02/02/2021";;;;;21227;18,34;;;;
2021-02-03;99489;11306;1009;2992;;;759;90;1258;"Fuente Centro de Coordinación de Alertas y Emergencias Sanitarias. Gobierno de España 03/02/2021";;;;;21125;17,74;;;;
2021-02-04;100106;11361;1022;3007;;;745;88;617;"Fuente Centro de Coordinación de Alertas y Emergencias Sanitarias. Gobierno de España 04/02/2021";;;;;21036;17,45;;;;
2021-02-05;100714;11423;1023;3020;;;736;86;608;"Fuente Centro de Coordinación de Alertas y Emergencias Sanitarias. Gobierno de España 05/02/2021";;;;;28399;16,94;;;;
2021-02-08;101847;11591;1035;3058;;;758;92;;"Fuente Centro de Coordinación de Alertas y Emergencias Sanitarias. Gobierno de España 08/02/2021";;;;;19934;15,79;;;;
2021-02-09;102152;11658;1040;3076;;;728;88;305;"Fuente Centro de Coordinación de Alertas y Emergencias Sanitarias. Gobierno de España 09/02/2021";;;;;20237;15,39;;;;
2021-02-10;102509;11699;1043;3090;;;741;92;357;"Fuente Centro de Coordinación de Alertas y Emergencias Sanitarias. Gobierno de España 10/02/2021";;;;;19811;15,16;;;;
2021-02-11;102913;11743;1049;3101;;;704;90;404;"Fuente Centro de Coordinación de Alertas y Emergencias Sanitarias. Gobierno de España 11/02/2021";;;;;19491;15,14;;;;
2021-02-12;103252;11796;1056;3112;;;685;88;339;"Fuente Centro de Coordinación de Alertas y Emergencias Sanitarias. Gobierno de España 12/02/2021";;;;;25686;14,58;;;;
2021-02-15;104237;11944;1070;3152;;;670;89;;"Fuente Centro de Coordinación de Alertas y Emergencias Sanitarias. Gobierno de España 15/02/2021";;;;;16104;13,6;;;;
2021-02-16;104499;11970;1075;3161;;;624;86;262;"Fuente Centro de Coordinación de Alertas y Emergencias Sanitarias. Gobierno de España 16/02/2021";;;;;21898;13,39;;;;
2021-02-17;104768;11996;1077;3175;;;570;83;269;"Fuente Centro de Coordinación de Alertas y Emergencias Sanitarias. Gobierno de España 17/02/2021";;;;;15440;13,2;;;;
2021-02-18;105017;12026;1079;3194;;;530;79;249;"Fuente Centro de Coordinación de Alertas y Emergencias Sanitarias. Gobierno de España 18/02/2021";;;;;21253;13,1;;;;
2021-02-19;105207;12055;1082;3206;;;503;80;190;"Fuente Centro de Coordinación de Alertas y Emergencias Sanitarias. Gobierno de España 19/02/2021";;;;;20356;12,66;;;;
2021-02-22;105708;12110;1093;3212;;;475;86;;"Fuente Centro de Coordinación de Alertas y Emergencias Sanitarias. Gobierno de España 22/02/2021";;;;;13025;11,06;;;;
2021-02-23;105887;12137;1099;3230;;;454;78;179;"Fuente Centro de Coordinación de Alertas y Emergencias Sanitarias. Gobierno de España 23/02/2021";;;;;12436;10,77;;;;
2021-02-24;106096;12167;1103;3238;;;422;76;209;"Fuente Centro de Coordinación de Alertas y Emergencias Sanitarias. Gobierno de España 24/02/2021";;;;;12097;10,81;;;;
2021-02-25;106279;12187;1106;3241;;;402;78;183;"Fuente Centro de Coordinación de Alertas y Emergencias Sanitarias. Gobierno de España 25/02/2021";;;;;12073;10,89;;;;
2021-02-26;106480;12216;1109;3258;;;381;75;201;"Fuente Centro de Coordinación de Alertas y Emergencias Sanitarias. Gobierno de España 26/02/2021";;;;;16997;10,35;;;;
2021-03-01;106860;12276;1117;3265;;;372;74;;"Fuente Centro de Coordinación de Alertas y Emergencias Sanitarias. Gobierno de España 01/03/2021";;;;;10755;10,29;;;;
2021-03-02;106998;12291;1116;3281;;;12291;1116;138;"Fuente Centro de Coordinación de Alertas y Emergencias Sanitarias. Gobierno de España 02/03/2021";;;;;10646;10,02;;;;
2021-03-03;107224;12330;1121;3286;;;339;73;226;"Fuente Centro de Coordinación de Alertas y Emergencias Sanitarias. Gobierno de España 03/03/2021";;;;;10661;9,79;;;;
2021-03-04;107398;12360;1123;3297;;;323;73;174;"Fuente Centro de Coordinación de Alertas y Emergencias Sanitarias. Gobierno de España 04/03/2021";;;;;15340;9,58;;;;
2021-03-05;107568;12391;1126;3303;;;313;69;170;"Fuente Centro de Coordinación de Alertas y Emergencias Sanitarias. Gobierno de España 05/03/2021";;;;;14858;9,54;;;;
2021-03-08;107850;12441;1137;3312;;;328;65;;"Fuente Centro de Coordinación de Alertas y Emergencias Sanitarias. Gobierno de España 08/03/2021";;;;;9677;9,53;;;;
2021-03-09;107954;12483;1143;3319;;;310;64;104;"Fuente Centro de Coordinación de Alertas y Emergencias Sanitarias. Gobierno de España 09/03/2021";;;;;8642;9,41;;;;
2021-03-10;108122;12503;1145;3320;;;300;61;168;"Fuente Centro de Coordinación de Alertas y Emergencias Sanitarias. Gobierno de España 10/03/2021";;;;;8866;9,38;;;;
2021-03-11;108265;12530;1147;3329;;;286;57;143;"Fuente Centro de Coordinación de Alertas y Emergencias Sanitarias. Gobierno de España 11/03/2021";;;;;8871;9,27;;;;
2021-03-12;108416;12539;1150;3333;;;286;59;151;"Fuente Centro de Coordinación de Alertas y Emergencias Sanitarias. Gobierno de España 12/03/2021";;;;;12941;8,88;;;;
2021-03-15;108693;12596;1158;3341;;;284;22;;"Fuente Centro de Coordinación de Alertas y Emergencias Sanitarias. Gobierno de España 15/03/2021";;;;;8587;8,13;;;;
2021-03-16;108799;12609;1160;3343;;;279;54;106;"Fuente Centro de Coordinación de Alertas y Emergencias Sanitarias. Gobierno de España 16/03/2021";;;;;9355;7,96;;;;
2021-03-17;108940;12597;1161;3351;;;255;51;141;"Fuente Centro de Coordinación de Alertas y Emergencias Sanitarias. Gobierno de España 17/03/2021";;;;;9167;7,81;;;;
2021-03-18;109093;12633;1165;3354;;;251;50;153;"Fuente Centro de Coordinación de Alertas y Emergencias Sanitarias. Gobierno de España 18/03/2021";;;;;9158;7,75;;;;
2021-03-22;109579;12708;1176;3365;;;254;50;;"Fuente Centro de Coordinación de Alertas y Emergencias Sanitarias. Gobierno de España 22/03/2021";;;;;9391;7,57;;;;
2021-03-23;109683;12722;1178;3372;;;270;50;104;"Fuente Centro de Coordinación de Alertas y Emergencias Sanitarias. Gobierno de España 23/03/2021";;;;;9425;7,6;;;;
2021-03-24;109832;12749;1180;3374;;;276;50;149;"Fuente Centro de Coordinación de Alertas y Emergencias Sanitarias. Gobierno de España 24/03/2021";;;;;9541;7,66;;;;
2021-03-25;110002;12763;1182;3371;;;269;53;170;"Fuente Centro de Coordinación de Alertas y Emergencias Sanitarias. Gobierno de España 25/03/2021";;;;;9548;7,59;;;;
2021-03-26;110163;12770;1183;3372;;;271;55;161;"Fuente Centro de Coordinación de Alertas y Emergencias Sanitarias. Gobierno de España 26/03/2021";;;;;13773;7,66;8287;,15;11,59;3,07
2021-03-29;110530;12830;1192;3334;;;263;55;;"Fuente Centro de Coordinación de Alertas y Emergencias Sanitarias. Gobierno de España 29/03/2021";;;;;9376;7,51;8314;;11,61;
2021-03-30;110668;12830;1192;3339;;;268;52;138;"Fuente Centro de Coordinación de Alertas y Emergencias Sanitarias. Gobierno de España 30/03/2021";;;;;9344;7,69;8325;,12;11,59;3,02
2021-03-31;110894;12865;1196;3344;;;282;51;226;"Fuente Centro de Coordinación de Alertas y Emergencias Sanitarias. Gobierno de España 31/03/2021";;;;;13473;7,84;8342;,20;11,60;3,02
2021-04-01;111089;12892;1199;3348;;;286;49;195;"Fuente Centro de Coordinación de Alertas y Emergencias Sanitarias. Gobierno de España 01/04/2021";;;;;13470;8,16;8356;,18;11,61;3,02
2021-04-03;111339;12917;1199;3351;;;294;50;;"Fuente Centro de Coordinación de Alertas y Emergencias Sanitarias. Gobierno de España 03/04/2021";;;;;12773;9,19;8375;;11,60;
2021-04-05;111611;12959;1209;75783;;;325;51;;"Fuente Centro de Coordinación de Alertas y Emergencias Sanitarias. Gobierno de España 05/04/2021";;;;;7402;10,3;8396;;11,61;
2021-04-06;111836;13000;1212;3358;;;308;47;225;"Fuente Centro de Coordinación de Alertas y Emergencias Sanitarias. Gobierno de España 06/04/2021";;;;;6285;10,71;8413;,20;11,62;3,01
2021-04-07;112210;13008;1215;3364;;;298;44;374;"Fuente Centro de Coordinación de Alertas y Emergencias Sanitarias. Gobierno de España 07/04/2021";;;;;6958;11,23;8441;,33;11,59;3,01
2021-04-08;112531;13040;1222;3371;;;307;42;321;"Fuente Centro de Coordinación de Alertas y Emergencias Sanitarias. Gobierno de España 08/04/2021";;;;;7068;11,57;8465;,29;11,59;3,00
2021-04-09;112848;13074;1224;3375;;;300;40;317;"Fuente Centro de Coordinación de Alertas y Emergencias Sanitarias. Gobierno de España 09/04/2021";;;;;11140;12,48;8489;,28;11,59;3,00
2021-04-12;113436;13141;1234;3384;;;333;47;;"Fuente Centro de Coordinación de Alertas y Emergencias Sanitarias. Gobierno de España 12/04/2021";;;;;10544;12,6;8533;;11,58;
2021-04-13;113630;13170;1233;3386;;;334;46;194;"Fuente Centro de Coordinación de Alertas y Emergencias Sanitarias. Gobierno de España 13/04/2021";;;;;12413;12,37;8548;,17;11,59;2,98
2021-04-14;113963;13162;1234;3391;;;339;48;333;"Fuente Centro de Coordinación de Alertas y Emergencias Sanitarias. Gobierno de España 14/04/2021";;;;;12003;12,11;8573;,29;11,55;2,98
2021-04-15;114218;13252;1244;3391;;;353;49;255;"Fuente Centro de Coordinación de Alertas y Emergencias Sanitarias. Gobierno de España 15/04/2021";;;;;11977;12,04;8592;,22;7,52;2,98
2021-04-16;114511;13252;1244;3393;;;388;53;293;"Fuente Centro de Coordinación de Alertas y Emergencias Sanitarias. Gobierno de España 16/04/2021";;;;;12298;11,79;8614;,26;11,57;2,97
2021-04-19;115206;;;3407;;;391;59;;"Fuente Centro de Coordinación de Alertas y Emergencias Sanitarias. Gobierno de España 19/04/2021";;;;;12657;11,06;8666;;;
2021-04-20;115405;;;3410;;;;;199;"Fuente Centro de Coordinación de Alertas y Emergencias Sanitarias. Gobierno de España 20/04/2021";;;;;17553;11,28;8681;,17;;2,96
2021-04-21;115746;;;3415;;;;;341;"Fuente Centro de Coordinación de Alertas y Emergencias Sanitarias. Gobierno de España 21/04/2021";;;;;17805;11,29;8707;,30;;2,96
2021-04-22;116084;;;3420;;;384;59;338;"Fuente Centro de Coordinación de Alertas y Emergencias Sanitarias. Gobierno de España 22/04/2021";;;;;18128;11,07;8732;,29;;2,95
2021-04-23;116374;;;3423;;;370;58;290;"Fuente Centro de Coordinación de Alertas y Emergencias Sanitarias. Gobierno de España 23/04/2021";;;;;18462;10,95;8754;,25;;2,95
2021-04-26;116959;;;3428;;;399;63;;"Fuente Centro de Coordinación de Alertas y Emergencias Sanitarias. Gobierno de España 26/04/2021";;;;;19003;11,34;8798;;;
2021-04-27;117255;;;3427;;;;;296;"Fuente Centro de Coordinación de Alertas y Emergencias Sanitarias. Gobierno de España 27/04/2021";;;;;17076;11,36;8820;,25;;2,93
2021-04-28;117618;;;3437;;;376;64;363;"Fuente Centro de Coordinación de Alertas y Emergencias Sanitarias. Gobierno de España 28/04/2021";;;;;17411;11,6;8848;,31;;2,93
2021-04-29;117986;;;3437;;;365;63;368;"Fuente Centro de Coordinación de Alertas y Emergencias Sanitarias. Gobierno de España 29/04/2021";;;;;17469;11,69;8875;,31;;2,92
2021-04-30;118361;;;3437;;;368;62;375;"Fuente Centro de Coordinación de Alertas y Emergencias Sanitarias. Gobierno de España 30/04/2021";;;;;17824;12;8903;,32;;2,91
2021-05-03;119153;;;3444;;;388;65;;"Fuente Centro de Coordinación de Alertas y Emergencias Sanitarias. Gobierno de España 03/05/2021";;;;;18632;12,54;8963;;;
2021-05-04;119340;;;3446;;;373;69;187;"Fuente Centro de Coordinación de Alertas y Emergencias Sanitarias. Gobierno de España 04/05/2021";;;;;21059;12,22;8977;,16;;2,89
2021-05-05;119698;;;;;;368;72;358;"Fuente Centro de Coordinación de Alertas y Emergencias Sanitarias. Gobierno de España 05/05/2021";;;;;20475;12,1;9004;,30;;
2021-05-06;120025;;;3454;;;382;73;327;"Fuente Centro de Coordinación de Alertas y Emergencias Sanitarias. Gobierno de España 06/05/2021";;;;;20643;12,06;9029;,27;;2,89
2021-05-07;120282;;;3452;;;379;74;257;"Fuente Centro de Coordinación de Alertas y Emergencias Sanitarias. Gobierno de España 07/05/2021";;;;;20481;11,85;9048;,21;;2,88
2021-05-10;120814;;;3460;;;383;74;;"Fuente Centro de Coordinación de Alertas y Emergencias Sanitarias. Gobierno de España 10/05/2021";;;;;19933;10,8;9088;;;
2021-05-11;120965;;;3463;;;371;75;151;"Fuente Centro de Coordinación de Alertas y Emergencias Sanitarias. Gobierno de España 11/05/2021";;;;;19333;10,61;9099;,12;;2,87
2021-05-12;121190;;;3473;;;356;70;225;"Fuente Centro de Coordinación de Alertas y Emergencias Sanitarias. Gobierno de España 12/05/2021";;;;;19451;10,41;9116;,19;;2,87
2021-05-13;121429;;;3474;;;324;63;239;"Fuente Centro de Coordinación de Alertas y Emergencias Sanitarias. Gobierno de España 13/05/2021";;;;;19385;10,2;9134;,20;;2,87
2021-05-14;121653;;;3481;;;313;62;224;"Fuente Centro de Coordinación de Alertas y Emergencias Sanitarias. Gobierno de España 14/05/2021";;;;;19064;9,69;9151;,18;;2,87
2021-05-17;122063;;;3492;;;303;63;;"Fuente Centro de Coordinación de Alertas y Emergencias Sanitarias. Gobierno de España 17/05/2021";;;;;17934;8,95;9182;;;
2021-05-18;122193;;;3490;;;296;63;130;"Fuente Centro de Coordinación de Alertas y Emergencias Sanitarias. Gobierno de España 18/05/2021";;;;;17608;8,83;9192;,11;;2,86
2021-05-19;122451;;;3494;;;283;63;258;"Fuente Centro de Coordinación de Alertas y Emergencias Sanitarias. Gobierno de España 19/05/2021";;;;;17475;8,76;9211;,21;;2,86
2021-05-20;122692;;;3496;;;;;241;"Fuente Centro de Coordinación de Alertas y Emergencias Sanitarias. Gobierno de España 20/05/2021";;;;;17357;8,79;9229;,20;;2,86
2021-05-21;122929;;;3500;;;247;59;237;"Fuente Centro de Coordinación de Alertas y Emergencias Sanitarias. Gobierno de España 21/05/2021";;;;;17039;8,69;9247;,19;;2,85
2021-05-24;123333;;;3504;;;251;57;;"Fuente Centro de Coordinación de Alertas y Emergencias Sanitarias. Gobierno de España 24/05/2021";;;;;16552;9,22;9277;;;
2021-05-25;123454;;;3503;;;247;57;121;"Fuente Centro de Coordinación de Alertas y Emergencias Sanitarias. Gobierno de España 25/05/2021";;;;;16631;9,04;9287;,10;;2,84
2021-05-26;123612;;;3505;;;223;58;158;"Fuente Centro de Coordinación de Alertas y Emergencias Sanitarias. Gobierno de España 26/05/2021";;;;;16567;9,15;9298;,13;;2,84
2021-05-27;123770;;;3506;;;219;56;158;"Fuente Centro de Coordinación de Alertas y Emergencias Sanitarias. Gobierno de España 27/05/2021";;;;;16464;9,15;9310;,13;;2,84
2021-05-28;123905;;;3504;;;215;51;135;"Fuente Centro de Coordinación de Alertas y Emergencias Sanitarias. Gobierno de España 28/05/2021";;;;;16234;9,04;9320;,11;;2,83
2021-05-31;124123;;;3509;;;229;51;;"Fuente Centro de Coordinación de Alertas y Emergencias Sanitarias. Gobierno de España 31/05/2021";;;;;14697;7,38;934;;;
2021-06-01;124368;;;3511;;;217;48;245;"Fuente Centro de Coordinación de Alertas y Emergencias Sanitarias. Gobierno de España 01/06/2021";;;;;15394;7,5;9355;,20;;2,83
2021-06-02;124517;;;3511;;;205;46;149;"Fuente Centro de Coordinación de Alertas y Emergencias Sanitarias. Gobierno de España 02/06/2021";;;;;15419;7,5;9366;,12;;2,82
2021-06-03;124671;;;3511;;;189;47;154;"Fuente Centro de Coordinación de Alertas y Emergencias Sanitarias. Gobierno de España 03/06/2021";;;;;15454;7,2;9378;,12;;2,82
2021-06-04;124819;;;3517;;;180;46;148;"Fuente Centro de Coordinación de Alertas y Emergencias Sanitarias. Gobierno de España 04/06/2021";;;;;15309;7,11;9389;,12;;2,82
2021-06-07;125083;;;3521;;;186;41;;"Fuente Centro de Coordinación de Alertas y Emergencias Sanitarias. Gobierno de España 07/06/2021";;;;;14951;7,24;9409;;;
2021-06-08;125159;;;3521;;;166;40;76;"Fuente Centro de Coordinación de Alertas y Emergencias Sanitarias. Gobierno de España 08/06/2021";;;;;14548;7,15;9415;,06;;
2021-06-09;125270;;;3523;;;156;39;111;"Fuente Centro de Coordinación de Alertas y Emergencias Sanitarias. Gobierno de España 09/06/2021";;;;;14513;7,24;9423;,09;;2,81
2021-06-10;125373;;;3525;;;161;39;103;"Fuente Centro de Coordinación de Alertas y Emergencias Sanitarias. Gobierno de España 10/06/2021";;;;;14367;7,23;9431;,08;;2,81
2021-06-11;125490;;;3530;;;140;37;117;"Fuente Centro de Coordinación de Alertas y Emergencias Sanitarias. Gobierno de España 11/06/2021";;;;;14026;6,67;9440;,09;;2,82
2021-06-14;125662;;;3530;;;139;32;;"Fuente Centro de Coordinación de Alertas y Emergencias Sanitarias. Gobierno de España 14/06/2021";;;;;12357;5,66;9453;;;
2021-06-15;125732;;;3532;;;112;30;70;"Fuente Centro de Coordinación de Alertas y Emergencias Sanitarias. Gobierno de España 15/06/2021";;;;;12929;5,47;9458;,06;;2,81
2021-06-16;125820;;;3534;;;106;28;88;"Fuente Centro de Coordinación de Alertas y Emergencias Sanitarias. Gobierno de España 16/06/2021";;;;;12791;5,36;9464;,07;;2,81
2021-06-17;125915;;;3537;;;105;28;95;"Fuente Centro de Coordinación de Alertas y Emergencias Sanitarias. Gobierno de España 17/06/2021";;;;;12844;5,36;9472;,08;;2,81
2021-06-18;125999;;;3538;;;103;24;84;"Fuente Centro de Coordinación de Alertas y Emergencias Sanitarias. Gobierno de España 18/06/2021";;;;;12638;5,56;9478;,07;;2,81
2021-06-21;126177;;;3537;;;103;23;;"Fuente Centro de Coordinación de Alertas y Emergencias Sanitarias. Gobierno de España 21/06/2021";;;;;11670;4,94;9491;;;
2021-06-22;126243;;;3539;;;81;22;66;"Fuente Centro de Coordinación de Alertas y Emergencias Sanitarias. Gobierno de España 22/06/2021";;;;;11670;5,34;9496;,05;;2,80
2021-06-23;126354;;;3543;;;82;20;111;"Fuente Centro de Coordinación de Alertas y Emergencias Sanitarias. Gobierno de España 23/06/2021";;;;;11586;5,3;9505;,09;;2,81
2021-06-24;126446;;;3544;;;83;19;92;"Fuente Centro de Coordinación de Alertas y Emergencias Sanitarias. Gobierno de España 24/06/2021";;;;;11553;5,26;9512;,07;;2,80
2021-06-25;126512;;;3544;;;74;19;66;"Fuente Centro de Coordinación de Alertas y Emergencias Sanitarias. Gobierno de España 25/06/2021";;;;;11413;5,32;9517;,05;;2,80
2021-06-28;126707;;;3543;;;75;19;;"Fuente Centro de Coordinación de Alertas y Emergencias Sanitarias. Gobierno de España 28/06/2021";;;;;11015;5,11;9531;;;
2021-06-29;126773;;;3544;;;71;17;66;"Fuente Centro de Coordinación de Alertas y Emergencias Sanitarias. Gobierno de España 29/06/2021";;;;;11554;5,21;9536;,05;;2,80
2021-06-30;126928;;;3549;;;72;16;155;"Fuente Centro de Coordinación de Alertas y Emergencias Sanitarias. Gobierno de España 30/06/2021";;;;;11630;5,28;9548;,12;;2,80
2021-07-01;127122;;;3547;;;72;14;194;"Fuente Centro de Coordinación de Alertas y Emergencias Sanitarias. Gobierno de España 01/07/2021";;;;;11660;5,3;9562;,15;;2,79
2021-07-02;127350;;;3553;;;;;228;"Fuente Centro de Coordinación de Alertas y Emergencias Sanitarias. Gobierno de España 02/07/2021";;;;;11787;5,27;9580;,18;;2,79
2021-07-05;128024;;;3551;;;;;;"Fuente Centro de Coordinación de Alertas y Emergencias Sanitarias. Gobierno de España 05/07/2021";;;;;12374;7,06;9630;;;
2021-07-06;128374;;;3551;;;;;350;"Fuente Centro de Coordinación de Alertas y Emergencias Sanitarias. Gobierno de España 06/07/2021";;;;;13591;8,55;9657;,27;;2,77
2021-07-07;129017;;;3556;;;;;643;"Fuente Centro de Coordinación de Alertas y Emergencias Sanitarias. Gobierno de España 07/07/2021";;;;;13490;8,8;9705;,50;;2,77
2021-07-08;129744;;;3555;;;;;727;"Fuente Centro de Coordinación de Alertas y Emergencias Sanitarias. Gobierno de España 08/07/2021";;;;;14354;9,9;9760;,56;;2,76
2021-07-09;130503;;;3554;;;79;17;759;"Fuente Centro de Coordinación de Alertas y Emergencias Sanitarias. Gobierno de España 09/07/2021";;;;;15409;11,61;9817;,58;;2,74
2021-07-12;132296;;;3556;;;100;16;;"Fuente Centro de Coordinación de Alertas y Emergencias Sanitarias. Gobierno de España 12/07/2021";;;;;16971;17,12;9952;;;
2021-07-13;132940;;;3555;;;94;16;644;"Fuente Centro de Coordinación de Alertas y Emergencias Sanitarias. Gobierno de España 13/07/2021";;;;;23489;17,32;10000;,49;;2,69
2021-07-14;133887;;;3555;;;108;17;947;"Fuente Centro de Coordinación de Alertas y Emergencias Sanitarias. Gobierno de España 14/07/2021";;;;;24382;17,64;10071;,71;;2,67
2021-07-15;134928;;;3557;;;117;17;1041;"Fuente Centro de Coordinación de Alertas y Emergencias Sanitarias. Gobierno de España 15/07/2021";;;;;24987;18;10150;,78;;2,66
2021-07-16;135940;;;3557;;;151;21;1012;"Fuente Centro de Coordinación de Alertas y Emergencias Sanitarias. Gobierno de España 16/07/2021";;;;;26930;18,5;10226;,75;;2,64
2021-07-19;138146;;;3559;;;211;23;;"Fuente Centro de Coordinación de Alertas y Emergencias Sanitarias. Gobierno de España 19/07/2021";;;;;29061;18,51;10392;;;
2021-07-20;138911;;;3561;;;229;24;765;"Fuente Centro de Coordinación de Alertas y Emergencias Sanitarias. Gobierno de España 20/07/2021";;;;;33895;18,58;10449;,55;;2,58
2021-07-21;139985;;;3563;;;255;26;1074;"Fuente Centro de Coordinación de Alertas y Emergencias Sanitarias. Gobierno de España 21/07/2021";;;;;33948;18,69;10530;,77;;2,56
2021-07-22;140952;;;3561;;;282;26;967;"Fuente Centro de Coordinación de Alertas y Emergencias Sanitarias. Gobierno de España 22/07/2021";;;;;34079;18,81;10603;,69;;2,54
2021-07-23;141987;;;3562;;;297;28;1035;"Fuente Centro de Coordinación de Alertas y Emergencias Sanitarias. Gobierno de España 23/07/2021";;;;;34814;19,08;10681;,73;;2,53
2021-07-26;143315;;;3562;;;371;33;;"Fuente Centro de Coordinación de Alertas y Emergencias Sanitarias. Gobierno de España 26/07/2021";;;;;31057;19,16;10781;;;
2021-07-27;143867;;;3564;;;371;35;552;"Fuente Centro de Coordinación de Alertas y Emergencias Sanitarias. Gobierno de España 27/07/2021";;;;;32449;19,32;10822;,39;;2,49
2021-07-28;144767;;;3574;;;378;36;900;"Fuente Centro de Coordinación de Alertas y Emergencias Sanitarias. Gobierno de España 28/07/2021";;;;;32447;18,95;10890;;;
2021-07-29;144767;;;3574;;;370;37;;"Fuente Centro de Coordinación de Alertas y Emergencias Sanitarias. Gobierno de España 29/07/2021";;;;;32764;19,08;10890;;;
2021-07-30;145855;;;3580;;;359;41;1088;"Fuente Centro de Coordinación de Alertas y Emergencias Sanitarias. Gobierno de España 30/07/2021";;;;;31724;18,52;10972;,75;;2,47
2021-08-02;148507;;;3607;;;375;43;;"Fuente Centro de Coordinación de Alertas y Emergencias Sanitarias. Gobierno de España 02/08/2021";;;;;28582;17,84;11171;;;
2021-08-03;148902;;;3604;;;374;43;395;"Fuente Centro de Coordinación de Alertas y Emergencias Sanitarias. Gobierno de España 03/08/2021";;;;;28933;18,16;11201;,27;;2,43
2021-08-04;149510;;;3601;;;360;42;608;"Fuente Centro de Coordinación de Alertas y Emergencias Sanitarias. Gobierno de España 04/08/2021";;;;;28169;18,22;11247;,41;;2,42
2021-08-05;150172;;;3601;;;352;44;662;"Fuente Centro de Coordinación de Alertas y Emergencias Sanitarias. Gobierno de España 05/08/2021";;;;;27955;18,07;11296;,44;;2,41
2021-08-06;150757;;;3611;;;337;46;585;"Fuente Centro de Coordinación de Alertas y Emergencias Sanitarias. Gobierno de España 06/08/2021";;;;;27034;18,29;11340;,39;;2,40
2021-08-09;151812;;;3617;;;365;50;;"Fuente Centro de Coordinación de Alertas y Emergencias Sanitarias. Gobierno de España 09/08/2021";;;;;23130;18,36;11420;;;
2021-08-10;152174;;;3627;;;335;47;362;"Fuente Centro de Coordinación de Alertas y Emergencias Sanitarias. Gobierno de España 10/08/2021";;;;;22127;17,96;11447;,24;;2,39
2021-08-11;152579;;;3638;;;328;49;405;"Fuente Centro de Coordinación de Alertas y Emergencias Sanitarias. Gobierno de España 11/08/2021";;;;;22146;17,77;11477;,27;;2,39
2021-08-12;153011;;;3643;;;313;50;432;"Fuente Centro de Coordinación de Alertas y Emergencias Sanitarias. Gobierno de España 12/08/2021";;;;;22006;17,66;11510;,28;;2,39
2021-08-13;153427;;;3653;;;315;49;416;"Fuente Centro de Coordinación de Alertas y Emergencias Sanitarias. Gobierno de España 13/08/2021";;;;;21325;17,32;11541;,27;;2,39
2021-08-16;153671;;;3655;;;321;52;244;"Fuente Centro de Coordinación de Alertas y Emergencias Sanitarias. Gobierno de España 14/08/2021";;;;;18540;15,69;11560;,16;;2,38
